"date","state","value"
2011-01-01,"NJ",548479.4
2012-01-01,"NJ",560729.7
2013-01-01,"NJ",570952.4
2014-01-01,"NJ",570696.4
2015-01-01,"NJ",581415
2016-01-01,"NJ",587049.7
2017-01-01,"NJ",590086.8
2018-01-01,"NJ",606892.2
2019-01-01,"NJ",618691
2020-01-01,"NJ",597221.4
2021-01-01,"NJ",632463.3
2022-01-01,"NJ",650235.8
2023-01-01,"NJ",663888.5
2024-01-01,"NJ",678968.4
2005-01-01,"NM",86295.9
2006-01-01,"NM",88554.5
2007-01-01,"NM",89392.4
2008-01-01,"NM",89012.9
2009-01-01,"NM",90829.2
2010-01-01,"NM",90721
2011-01-01,"NM",90552.3
2012-01-01,"NM",90762.4
2013-01-01,"NM",90104.1
2014-01-01,"NM",92621.1
2015-01-01,"NM",93503.9
2016-01-01,"NM",93043.5
2017-01-01,"NM",93210.1
2018-01-01,"NM",96077
2019-01-01,"NM",100342.2
2020-01-01,"NM",97622.4
2021-01-01,"NM",100917.6
2022-01-01,"NM",103301.6
2023-01-01,"NM",110323.7
2024-01-01,"NM",112800.8
2005-01-01,"NY",1301438
2006-01-01,"NY",1339568.5
2007-01-01,"NY",1353798.9
2008-01-01,"NY",1328095.7
2009-01-01,"NY",1379504.6
2010-01-01,"NY",1431624
2011-01-01,"NY",1440346.8
2012-01-01,"NY",1496280.1
2013-01-01,"NY",1501818.1
2014-01-01,"NY",1535376
2015-01-01,"NY",1565835.2
2016-01-01,"NY",1590567.8
2017-01-01,"NY",1624800.7
2018-01-01,"NY",1665186.8
2019-01-01,"NY",1704364.3
2020-01-01,"NY",1656784.8
2021-01-01,"NY",1736222.3
2022-01-01,"NY",1765102.1
2023-01-01,"NY",1791210.7
2024-01-01,"NY",1834560.8
2005-01-01,"NC",442305.7
2006-01-01,"NC",470663.9
2007-01-01,"NC",477920.8
2008-01-01,"NC",492688.8
2009-01-01,"NC",473610.5
2010-01-01,"NC",482030.4
2011-01-01,"NC",484200.3
2012-01-01,"NC",488126.5
2013-01-01,"NC",497456.6
2014-01-01,"NC",509782.4
2015-01-01,"NC",525229.1
2016-01-01,"NC",536308.5
2017-01-01,"NC",546810.2
2018-01-01,"NC",556573.7
2019-01-01,"NC",567975
2020-01-01,"NC",564504.4
2021-01-01,"NC",600217.3
2022-01-01,"NC",619537.2
2023-01-01,"NC",638067.3
2024-01-01,"NC",661947.9
2005-01-01,"ND",29629
2006-01-01,"ND",30911.4
2007-01-01,"ND",32529
2008-01-01,"ND",35030.4
2009-01-01,"ND",35971.3
2010-01-01,"ND",38697.4
2011-01-01,"ND",43300.4
2012-01-01,"ND",53326.8
2013-01-01,"ND",54690.9
2014-01-01,"ND",60193
2015-01-01,"ND",58694.5
2016-01-01,"ND",54756
2017-01-01,"ND",56530.2
2018-01-01,"ND",58516.3
2019-01-01,"ND",59408.5
2020-01-01,"ND",55850.6
2021-01-01,"ND",56419.2
2022-01-01,"ND",55988
2023-01-01,"ND",60348.6
2024-01-01,"ND",59916.1
2005-01-01,"OH",584867.7
2006-01-01,"OH",582637.6
2007-01-01,"OH",585403
2008-01-01,"OH",580389.1
2009-01-01,"OH",550982.4
2010-01-01,"OH",563816.3
2011-01-01,"OH",580251.4
2012-01-01,"OH",586540.9
2013-01-01,"OH",603057.4
2014-01-01,"OH",624973.4
2015-01-01,"OH",633274.8
2016-01-01,"OH",638157.5
2017-01-01,"OH",652187.5
2018-01-01,"OH",656212
2019-01-01,"OH",674063.9
2020-01-01,"OH",655243.3
2021-01-01,"OH",690479
2022-01-01,"OH",695257.9
2023-01-01,"OH",709816.7
2024-01-01,"OH",727262.4
2005-01-01,"OK",140360.1
2006-01-01,"OK",149367.2
2007-01-01,"OK",152879.6
2008-01-01,"OK",158987.7
2009-01-01,"OK",156856.8
2010-01-01,"OK",158086.4
2011-01-01,"OK",163859.3
2012-01-01,"OK",172016.1
2013-01-01,"OK",176086.8
2014-01-01,"OK",186574.5
2015-01-01,"OK",193792.6
2016-01-01,"OK",190093.5
2017-01-01,"OK",192538.6
2018-01-01,"OK",196030.5
2019-01-01,"OK",200072.2
2020-01-01,"OK",191560.9
2021-01-01,"OK",194132.8
2022-01-01,"OK",193940.5
2023-01-01,"OK",207923.4
2024-01-01,"OK",212783.8
2005-01-01,"OR",168734.5
